ad_id,ad_price,numpictures,proseller,adoldness,postalcode,production,mileage,clime_id,gas_id,shifter,person_capacity,doorsnumber,documentvalid,color,ccm,highlighted,upload_date,description,advertisement_url,catalog_url,sales_date,is_sold,download_date,sales_update_date,region_id,brand_id,model_id,error_type
15276154,1195000,12,True,30,2120,2007-06-01,210000,1,1,A4,5,4,2021-04-01,21,1596,False,2020-01-06,,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ambiente_automata_megkimelt_allapot_valos_km-15276154,http://katalogus.hasznaltauto.hu/ford/focus_1.6_ambiente_automata-10113,2020-02-10,True,,,13,30,17,<class 'sqlalchemy.exc.IntegrityError'>
15441654,1100000,6,False,27,4484,2007-04-01,120000,1,2,M5,5,5,2021-04-01,20,1560,False,2020-02-16,,https://www.hasznaltauto.hu/szemelyauto/ford/fusion/ford_fusion_1_6_tdci_fresh-15441654,http://katalogus.hasznaltauto.hu/ford/fusion_1.6_tdci_fresh-9616,,False,,2020-05-05,15,30,182,<class 'sqlalchemy.exc.IntegrityError'>
15170194,3199000,12,True,64,8000,2013-02-01,23399,1,1,M5,5,5,2021-05-01,90,998,False,2019-12-03,,https://www.hasznaltauto.hu/szemelyauto/ford/b-max/ford_b-max_1_0_gtdi_ecoboost_titanium_s_s_mo-i_elso_tulajdonostol_teli-nyari_kerek_szett_vez_szerv_tortenet_24_000km-15170194,http://katalogus.hasznaltauto.hu/ford/b-max_1.0_gtdi_ecoboost_titanium_s_s-9626,2020-05-05,True,,,6,30,40,<class 'sqlalchemy.exc.IntegrityError'>
13382322,8885716,5,True,517,2151,2018-07-01,25000,4,2,0,5,5,2022-08-01,132,1461,True,2018-09-06,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/a_180/mercedes-benz_a_180_d_7g-dct_netto_6_996_202_ft_plusz_afa-13382322,http://katalogus.hasznaltauto.hu/mercedes-benz/a_180_d_7g-dct-112419,,False,,2020-05-06,13,58,33,<class 'sqlalchemy.exc.IntegrityError'>
14819241,7580985,6,True,155,5100,2018-09-01,39270,1,2,A7,5,5,2022-09-01,30,1461,False,2019-09-05,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/a_180/mercedes-benz_a_180_d_style_7g-dct_netto_5_969_279-14819241,http://katalogus.hasznaltauto.hu/mercedes-benz/a_180_d_style_7g-dct-112420,2020-05-05,True,,,10,58,33,<class 'sqlalchemy.exc.IntegrityError'>
15462332,2590000,12,True,29,1112,2008-07-01,175873,4,2,T5,5,5,2021-07-01,10,2148,False,2020-02-21,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_200/mercedes-benz_c_200_t_cdi_avantgarde_automata-15462332,http://katalogus.hasznaltauto.hu/mercedes-benz/c_200_t_cdi_avantgarde_automata-18017,,False,2020-03-21,2020-03-21,2,58,63,<class 'sqlalchemy.exc.IntegrityError'>
15571388,2490000,11,True,3,9028,1900-01-01,208058,2,2,T5,5,5,1900-01-01,40,2148,False,2020-03-18,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_200/mercedes-benz_c_200_t_cdi_avantgarde_automata_nagy_navi_parkradar_felbor_17alu_automata_klima-15571388,http://katalogus.hasznaltauto.hu/mercedes-benz/c_200_t_cdi_avantgarde_automata-18017,,False,2020-03-21,2020-03-21,7,58,63,<class 'sqlalchemy.exc.IntegrityError'>
14963461,13382383,6,True,117,2151,2018-12-01,19521,4,2,T9,5,4,2022-12-01,0,1950,True,2019-10-11,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/e_220/mercedes-benz_e_220_d_4matic_9g-tronic_netto_ar_10_537_309_ft-14963461,http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_d_4matic_9g-tronic-103859,,False,,2020-05-06,13,58,34,<class 'sqlalchemy.exc.IntegrityError'>
15180162,10999990,12,True,62,6000,1900-01-01,40700,4,2,T9,5,4,2020-04-01,0,1950,True,2019-12-05,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/e_220/mercedes-benz_e_220_d_9g-tronic-15180162,http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_d_9g-tronic-100904,2020-05-05,True,,,3,58,34,<class 'sqlalchemy.exc.IntegrityError'>
15044363,7690000,9,True,99,8000,2016-10-01,146210,4,2,T9,5,5,2020-07-01,10,1950,False,2019-10-31,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/e_220/mercedes-benz_e_220_d_t_9g-tronic_szervizkonyv_garantalt_km_plusz_1_ev_garancia-15044363,http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_d_t_9g-tronic-103870,,False,,2020-05-06,6,58,34,<class 'sqlalchemy.exc.IntegrityError'>
15345649,2499000,12,True,57,1161,2010-10-01,349000,1,2,T5,8,4,2022-01-01,10,2148,False,2020-01-24,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/vito/mercedes-benz_vito_111_cdi_l_automata_9_ules_navi_android_monitor-15345649,http://katalogus.hasznaltauto.hu/mercedes-benz/111_cdi_l_automata-51401,,False,2020-03-21,2020-03-21,2,58,60,<class 'sqlalchemy.exc.IntegrityError'>
15037524,6999000,12,True,98,6700,2014-07-01,93500,4,2,T7,5,4,2020-07-01,130,2143,False,2019-10-30,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_220/mercedes-benz_c_220_bluetec_d_blueefficiency_7g-tronic_magyar_serulesmentes-15037524,http://katalogus.hasznaltauto.hu/mercedes-benz/c_220_bluetec_d_blueefficiency_7g-tronic-66152,2020-02-10,True,,,5,58,7,<class 'sqlalchemy.exc.IntegrityError'>
15360256,3990000,12,True,8,6725,2011-05-01,163132,2,2,T7,5,4,2021-05-01,40,2143,False,2020-01-28,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_220/mercedes-benz_c_220_cdi_blueefficiency_avantgarde_automata_magyaro_1_gazdas_szervizkonyves_akar_plusz_1_ev_garancia-15360256,http://katalogus.hasznaltauto.hu/mercedes-benz/c_220_cdi_blueefficiency_avantgarde_automata-18098,2020-05-05,True,,,5,58,7,<class 'sqlalchemy.exc.IntegrityError'>
15388358,7190000,9,True,3,9012,2018-03-01,9200,1,2,A7,5,5,2022-03-01,0,1461,False,2020-02-04,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/b_180/mercedes-benz_b_180_cdi_blueefficiency_style_7g-dct_3_6_lit_100km_488_liter_csomagter_led_park_assist_isp_garancia_5_7m_ft_plusz_afa-15388358,http://katalogus.hasznaltauto.hu/mercedes-benz/b_180_cdi_blueefficiency_style_7g-dct-92229,2020-05-05,True,,,7,58,54,<class 'sqlalchemy.exc.IntegrityError'>
15220211,9990000,12,True,52,2040,2019-06-01,5980,4,1,T9,5,5,2023-06-01,10,1595,True,2019-12-17,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_180/mercedes-benz_c_180_t_9g-tronic_benzines_kombi_hibatlan_allapotban_2023-ig_isp_garancia-15220211,http://katalogus.hasznaltauto.hu/mercedes-benz/c_180_t_9g-tronic-112439,2020-05-05,True,,,13,58,46,<class 'sqlalchemy.exc.IntegrityError'>
15041303,7723327,6,True,99,2151,2017-02-01,41361,2,2,T7,5,4,2021-02-01,10,1598,False,2019-10-31,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_180/mercedes-benz_c_180_bluetec_d_7g-tronic_netto_ar_6_265_643_ft_plusz_afa-15041303,http://katalogus.hasznaltauto.hu/mercedes-benz/c_180_bluetec_d_7g-tronic-92291,,False,,2020-05-06,13,58,46,<class 'sqlalchemy.exc.IntegrityError'>
15349278,17490000,6,True,11,2151,2019-04-01,21850,5,2,T7,7,5,2023-04-01,190,2143,True,2020-01-25,,https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/v-osztaly/mercedes-benz_v-osztaly_v_250_bluetec_avantgarde_l_4matic_automata_magyaro_-i_elso_uzembeh-15349278,http://katalogus.hasznaltauto.hu/mercedes-benz/v_250_bluetec_avantgarde_l_4matic_automata-92517,,False,,2020-05-06,13,58,36,<class 'sqlalchemy.exc.IntegrityError'>
