catalog_url,start_production,end_production,msrp,doorsnumber,person_capacity,weight,fuel_tank,boot_capacity,fuel,cylinder_layout,cylinders,ccm,consump_city,consump_highway,consump_mixed,top_speed,acceleration,torque,power,category_id,car_type_id,environmental_id,drive_id,error_type
http://katalogus.hasznaltauto.hu/hyundai/i40_1.7_crdi_lp_premium-13712,2011-01-01,,9190000.0,5.0,5.0,1485.0,70.0,553.0,Dízel,Soros,4.0,1685.0,5.5,4.2,4.6,190.0,12.9,260.0,116.0,5,8,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volvo/v60_2.0_d_d3_kinetic-41924,2013-01-01,,8940000.0,5.0,5.0,1705.0,67.0,430.0,Dízel,Soros,5.0,1984.0,5.2,4.1,4.5,205.0,10.4,350.0,136.0,5,8,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volvo/v60_1.6_t3_momentum-41842,2013-01-01,,9710000.0,5.0,5.0,1637.0,67.0,430.0,Benzin,Soros,4.0,1595.0,7.5,5.1,6.0,205.0,9.6,240.0,150.0,5,8,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volkswagen/passat_1.4_tsi_comfortline_dsg-47010,2011-01-01,,8415250.0,4.0,5.0,1398.0,70.0,565.0,Benzin,Soros,4.0,1390.0,7.5,5.3,6.1,205.0,10.3,200.0,122.0,5,11,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/hyundai/i40_1.6_gdi_comfort-13680,2011-01-01,,6940000.0,4.0,5.0,1395.0,70.0,553.0,Benzin,Soros,4.0,1591.0,8.0,5.4,6.4,195.0,11.6,164.0,136.0,5,11,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volkswagen/golf_1.4_tsi_comfortline-45211,2008-01-01,2012-01-01,5767300.0,5.0,5.0,1215.0,55.0,350.0,Benzin,Soros,4.0,1390.0,8.0,5.2,6.2,200.0,9.5,200.0,122.0,0,5,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/kia/ceed_1.4_lx-14471,2011-01-01,2012-01-01,3749000.0,5.0,5.0,1263.0,53.0,340.0,Benzin,Soros,4.0,1396.0,,,5.8,180.0,13.0,136.0,105.0,0,5,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/hyundai/i30_1.4i_life-13461,2012-01-01,,4649000.0,5.0,5.0,1185.0,53.0,378.0,Benzin,Soros,4.0,1396.0,7.9,4.9,6.0,182.0,13.2,137.0,99.0,0,5,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/opel/astra_1.6_active-24921,2012-01-01,,5500000.0,5.0,5.0,1393.0,56.0,370.0,Benzin,Soros,4.0,1598.0,8.7,5.3,6.6,185.0,12.3,155.0,116.0,0,5,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/opel/astra_1.6_enjoy-24919,2012-01-01,,5290000.0,5.0,5.0,1393.0,56.0,370.0,Benzin,Soros,4.0,1598.0,8.7,5.3,6.6,185.0,12.3,155.0,116.0,0,5,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volkswagen/polo_1.2_70_comfortline-43952,2009-01-01,2011-01-01,3669750.0,5.0,5.0,992.0,45.0,280.0,Benzin,Soros,3.0,1198.0,7.3,4.5,5.5,165.0,14.1,112.0,69.0,3,5,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/mercedes-benz/b_180_cdi_blueefficiency_style_7g-dct-92229,2014-01-01,,9151850.0,5.0,5.0,1395.0,40.0,488.0,Dízel,Soros,4.0,1461.0,4.3,3.2,3.6,190.0,11.6,260.0,109.0,0,4,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/ford/b-max_1.0_gtdi_ecoboost_titanium_s_s-9626,2012-01-01,2013-01-01,4980000.0,5.0,5.0,1332.0,48.0,318.0,Benzin,Soros,3.0,998.0,6.2,4.2,4.9,189.0,11.2,170.0,120.0,3,4,4,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volvo/v60_2.0_d_d2_momentum-95496,2015-01-01,,9450000.0,5.0,5.0,1679.0,67.0,430.0,Dízel,Soros,4.0,1969.0,4.2,3.5,3.7,195.0,11.5,280.0,120.0,5,8,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volkswagen/passat_variant_1.6_tdi_trendline_bmt_dsg-97968,2014-01-01,,8760370.0,5.0,5.0,1425.0,66.0,650.0,Dízel,Soros,4.0,1598.0,4.5,3.8,4.0,204.0,11.0,250.0,120.0,5,8,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/opel/astra_sports_tourer_1.4_t_start-stop_enjoy_automata-101555,2016-01-01,,6200000.0,5.0,5.0,1275.0,48.0,540.0,Benzin,Soros,4.0,1399.0,7.3,4.5,5.6,210.0,9.4,230.0,150.0,0,8,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/opel/astra_sports_tourer_1.6_cdti_start-stop_enjoy-101574,2016-01-01,,6370000.0,5.0,5.0,1328.0,48.0,540.0,Dízel,Soros,4.0,1598.0,4.7,3.5,3.9,205.0,10.1,320.0,136.0,0,8,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/mercedes-benz/cla_shooting_break_200_cdi_d_amg_sport_7g-dct-96571,2015-01-01,,11570550.0,5.0,5.0,1530.0,50.0,495.0,Dízel,Soros,4.0,2143.0,5.5,3.7,4.4,212.0,9.8,300.0,136.0,0,8,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/mercedes-benz/vito_111_bluetec_tourer_base_l_8_sz.-92587,2015-01-01,,9108350.0,4.0,8.0,1985.0,57.0,990.0,Dízel,Soros,4.0,1598.0,7.8,5.4,6.3,,,270.0,114.0,4,8,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volvo/v70_2.0_d_d4_kinetic_geartronic-42745,2013-01-01,,10790000.0,5.0,5.0,1854.0,70.0,555.0,Dízel,Soros,4.0,1969.0,5.3,4.1,4.5,220.0,8.6,400.0,181.0,2,8,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volkswagen/jetta_1.4_tsi_comfortline_bmt_dsg-97386,2014-01-01,,6094960.0,4.0,5.0,1287.0,55.0,510.0,Benzin,Soros,4.0,1395.0,6.3,4.5,5.2,206.0,9.6,200.0,125.0,0,11,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/opel/astra_1.4_t_enjoy-101494,2015-01-01,,5500000.0,5.0,5.0,1203.0,48.0,370.0,Benzin,Soros,4.0,1399.0,7.3,4.5,5.5,205.0,9.2,230.0,125.0,0,5,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/kia/ceed_1.4_cvvt_lx-100297,2015-01-01,,4629000.0,5.0,5.0,1246.0,53.0,380.0,Benzin,Soros,4.0,1396.0,7.8,4.9,6.0,183.0,12.7,134.0,101.0,0,5,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volvo/v40_cross_country_2.0_d_d2_ocean_race-104844,2016-01-01,,8280000.0,5.0,5.0,1575.0,52.0,324.0,Dízel,Soros,4.0,1969.0,4.2,3.4,3.7,190.0,10.6,280.0,120.0,0,5,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/volvo/v40_cross_country_2.0_d_d2_ocean_race-94946,2015-01-01,,8250000.0,5.0,5.0,1575.0,52.0,335.0,Dízel,Soros,4.0,1969.0,4.2,3.4,3.7,190.0,10.6,280.0,120.0,0,5,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/audi/a3_sportback_2.0_tdi_attraction_s-tronic-90217,2014-01-01,,8376030.0,5.0,5.0,1320.0,50.0,380.0,Dízel,Soros,4.0,1968.0,5.2,4.0,4.4,218.0,8.2,340.0,150.0,0,5,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/opel/corsa_1.4_enjoy-97859,2014-01-01,,3663000.0,5.0,5.0,1088.0,45.0,285.0,Benzin,Soros,4.0,1398.0,6.5,4.4,5.2,167.0,14.0,130.0,75.0,3,5,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/mini/mini_1.5_cooper-19999,2014-01-01,,5609000.0,3.0,4.0,1085.0,40.0,211.0,Benzin,Soros,3.0,1499.0,5.7,3.8,4.5,210.0,7.9,220.0,136.0,3,5,5,0,<class 'sqlalchemy.exc.IntegrityError'>
http://katalogus.hasznaltauto.hu/mercedes-benz/cla_180_urban_7g-dct-17131,2013-01-01,,9683660.0,4.0,5.0,1395.0,50.0,470.0,Benzin,Soros,4.0,1595.0,7.5,4.5,5.6,210.0,9.3,200.0,122.0,0,2,5,0,<class 'sqlalchemy.exc.IntegrityError'>
