;hirkod;hirkod_post
0;15152424;15152424.0
1;15157469;15238644.0
2;15226416;14865313.0
3;15358960;15380959.0
4;15225418;15493885.0
5;15203715;15552242.0
6;15390914;15513190.0
7;15279180;15362419.0
8;15037524;15483894.0
9;15243420;15676841.0
10;15224905;15593997.0
11;15192476;15216963.0
12;14617460;15371128.0
13;12261612;15359795.0
14;14803978;14129484.0
15;14805736;14993380.0
16;14949063;15464083.0
17;15103966;15671455.0
18;15112544;14989851.0
19;15119900;15296098.0
20;15120038;15553609.0
21;15276154;15678298.0
22;15282937;15624798.0
23;15284179;14576930.0
24;15284272;13847300.0
25;15288263;13326629.0
26;15296925;15586456.0
27;15310292;14925410.0
28;15330441;14923563.0
29;15359329;15376206.0
30;15361656;15403737.0
31;15363900;15264393.0
32;15363953;15346590.0
33;15368689;15388478.0
34;15368716;15274769.0
35;15384083;15394632.0
36;15384933;15334707.0
37;15384945;15406021.0
38;13382322;15028389.0
39;15180162;15028621.0
40;14717407;15390068.0
41;14963461;15396573.0
42;15384578;15403433.0
43;15364210;15377419.0
44;15349278;15398115.0
45;15391785;14946511.0
46;14975759;14255361.0
47;15366277;15396130.0
48;15170194;14178745.0
49;15366788;15369268.0
50;15361514;15393185.0
51;15361501;15321693.0
52;15356520;15106174.0
53;15360256;15404225.0
54;15280543;15373754.0
55;15361401;15371376.0
56;15361372;15363769.0
57;14578461;15413168.0
58;14577631;15028764.0
59;15321531;15028444.0
60;15342408;15414995.0
61;15342051;14178504.0
62;15098825;15418725.0
63;15306144;15399858.0
64;15177102;15355919.0
65;15220211;15394869.0
66;15356440;15320411.0
67;15365941;15396925.0
68;15393544;15234322.0
69;15206698;11742020.0
70;13891522;15416250.0
71;10971578;15032600.0
72;15138921;15022124.0
73;15306065;15440872.0
74;15146575;15537794.0
75;15307350;15520386.0
76;15307314;15493979.0
77;15120896;15339251.0
78;15399419;15554823.0
79;14915660;15557129.0
80;15311282;15395122.0
81;15054222;15480826.0
82;14303205;15461807.0
83;15211312;14249401.0
84;15397401;15526205.0
85;14874947;15185870.0
86;15099987;15087279.0
87;15000897;15415564.0
88;15176898;15557912.0
89;15393792;15545542.0
90;15277883;15575427.0
91;15388358;15558418.0
92;14365772;15519986.0
93;15349342;15503012.0
94;15294006;15205830.0
95;12167431;15420448.0
96;14819241;14830648.0
97;15206880;15521990.0
98;15044363;15518720.0
99;15041303;15558532.0
100;15014296;14973180.0
101;14888883;15479188.0
102;15341138;15203901.0
103;15129372;15310212.0
104;15386899;15295501.0
105;15250206;15578989.0
106;15168939;15429218.0
107;15399861;15574907.0
108;15398503;15450155.0
109;14769917;15514260.0
110;14591348;15556669.0
111;13132904;15374626.0
112;15056064;15162916.0
113;14861574;15515060.0
114;13254807;15514148.0
115;14709447;15497112.0
116;15306874;15365792.0
117;15175810;15268512.0
118;15278466;15525464.0
119;15282719;15529123.0
120;15342235;15572337.0
121;15384285;15507947.0
122;15250080;15554972.0
123;15355019;15592965.0
124;15328478;15320002.0
125;15097421;15443381.0
126;15063237;15639816.0
127;15058715;15685411.0
128;15058651;14870596.0
129;15017769;15662152.0
130;15013772;15659205.0
131;14864758;15134854.0
132;15030012;15592130.0
133;15291519;15355845.0
134;15284733;15681941.0
135;13932037;15240707.0
136;15196021;15427879.0
137;15380783;15663481.0
138;15311564;15654555.0
139;15288400;15304366.0
140;14958096;15620861.0
141;15328191;15658694.0
142;15225909;15607679.0
143;15207971;15607617.0
144;15205051;15679360.0
145;15196605;15687462.0
146;15061524;15635332.0
147;15038034;15578679.0
148;15002769;15656460.0
149;13657224;15674783.0
150;13094603;15478087.0
151;15127871;15156254.0
152;14124834;15376180.0
153;15369650;15444866.0
154;15311819;13398401.0
155;13207208;13933692.0
156;15397887;15436886.0
157;15356106;15654277.0
158;15314395;15634140.0
159;15169701;15627790.0
160;15056007;15613285.0
161;14873788;15640101.0
162;14731284;15283308.0
163;14456450;14341369.0
164;12416125;15464430.0
165;15372451;15265501.0
166;14874017;15578051.0
167;15073035;15595540.0
168;14696219;15612025.0
169;13594178;15566937.0
170;15402974;15651992.0
171;15373837;15015204.0
172;15256155;15565567.0
