;catalog_url;_merge
0;http://katalogus.hasznaltauto.hu/ford/mondeo_2.0_ecoblue_business-120970;both
1;no catalog;both
2;http://katalogus.hasznaltauto.hu/volvo/xc90_2.4_d_d5_momentum_geartronic-62470;both
3;http://katalogus.hasznaltauto.hu/hyundai/i40_1.7_crdi_lp_premium-13712;both
4;http://katalogus.hasznaltauto.hu/volvo/v60_2.0_d_d2_momentum-95496;both
5;http://katalogus.hasznaltauto.hu/audi/a4_1.9_tdi-1852;both
6;http://katalogus.hasznaltauto.hu/volkswagen/jetta_1.4_tsi_comfortline_bmt_dsg-97386;both
7;http://katalogus.hasznaltauto.hu/mercedes-benz/c_220_bluetec_d_blueefficiency_7g-tronic-66152;both
8;http://katalogus.hasznaltauto.hu/lexus/is_250_mark_levinsonpre-crash_automata-15324;both
9;http://katalogus.hasznaltauto.hu/lexus/is_220d_mark_levinson-15315;both
10;http://katalogus.hasznaltauto.hu/lexus/is_250_base_automata-15321;both
11;http://katalogus.hasznaltauto.hu/bmw/318d_sport-90860;both
12;http://katalogus.hasznaltauto.hu/opel/vivaro_1.5_d_combi_s-124411;both
13;http://katalogus.hasznaltauto.hu/bmw/x5_xdrive30d_automata-116544;both
14;http://katalogus.hasznaltauto.hu/volkswagen/passat_1.4_tsi_comfortline_dsg-47010;both
15;http://katalogus.hasznaltauto.hu/bmw/530e_iperformance_automata-108078;both
16;http://katalogus.hasznaltauto.hu/bmw/320d_m_sport_automata-123054;both
17;http://katalogus.hasznaltauto.hu/ford/focus_1.6_ambiente_automata-10113;both
18;http://katalogus.hasznaltauto.hu/opel/crossland_x_1.2_start-stop_best-124022;both
19;http://katalogus.hasznaltauto.hu/opel/grandland_x_1.2_t_enjoy-122399;both
20;http://katalogus.hasznaltauto.hu/opel/insignia_grand_sport_1.5_edition_start_stop-115932;both
21;http://katalogus.hasznaltauto.hu/opel/astra_1.4_t_enjoy-115832;both
22;http://katalogus.hasznaltauto.hu/volkswagen/golf_1.4_tsi_comfortline-45211;both
23;http://katalogus.hasznaltauto.hu/opel/corsa_1.2_edition-124006;both
24;http://katalogus.hasznaltauto.hu/opel/combo_life_1.2_t_enjoy_2.0t-123241;both
25;http://katalogus.hasznaltauto.hu/volkswagen/phaeton_3.2_v6_4_szemelyes__automata-47155;both
26;http://katalogus.hasznaltauto.hu/skoda/octavia_1.6_elegance-36640;both
27;http://katalogus.hasznaltauto.hu/kia/ceed_1.4_lx-14471;both
28;http://katalogus.hasznaltauto.hu/opel/zafira_life_1.5_d_business_m_6_szemelyes-126133;both
29;http://katalogus.hasznaltauto.hu/mazda/mazda_6_sport_1.8_te-16405;both
30;http://katalogus.hasznaltauto.hu/volkswagen/polo_1.2_70_comfortline-43952;both
31;http://katalogus.hasznaltauto.hu/nissan/x-trail_1.6_dig-t_160_acenta-92845;both
32;http://katalogus.hasznaltauto.hu/hyundai/i40_1.6_gdi_comfort-13680;both
33;http://katalogus.hasznaltauto.hu/hyundai/i30_1.4i_life-13461;both
34;http://katalogus.hasznaltauto.hu/mercedes-benz/a_180_d_7g-dct-112419;both
35;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_d_9g-tronic-100904;both
36;http://katalogus.hasznaltauto.hu/mercedes-benz/glc_220_d_4matic_9g-tronic-107626;both
37;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_d_4matic_9g-tronic-103859;both
38;http://katalogus.hasznaltauto.hu/mercedes-benz/glc_220_d_4matic_9g-tronic-98807;both
39;http://katalogus.hasznaltauto.hu/mercedes-benz/v_250_bluetec_avantgarde_l_4matic_automata-92517;both
40;http://katalogus.hasznaltauto.hu/mercedes-benz/s_350_d_l_4matic_9g-tronic-110787;both
41;http://katalogus.hasznaltauto.hu/mercedes-benz/s_560_e_l_9g-tronic_eq_power-117577;both
42;http://katalogus.hasznaltauto.hu/opel/astra_1.6_active-24921;both
43;http://katalogus.hasznaltauto.hu/ford/b-max_1.0_gtdi_ecoboost_titanium_s_s-9626;both
44;http://katalogus.hasznaltauto.hu/opel/corsa_1.4_enjoy-97859;both
45;http://katalogus.hasznaltauto.hu/volkswagen/passat_variant_1.6_tdi_trendline_bmt_dsg-97968;both
